trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-108.63014216054404,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-29.22154581500079,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,10,-33.055982530915486,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-40.27821512507395,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-142.12652116410058,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-86.00305216887062,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-86.15695289427924,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-121.07289890319393,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,8,-17.272310430153308,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-42.70844813621247,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-73.31994964027892,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,19,-36.53762389401856,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-58.64827400155647,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-30.306862305198088,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,17,-39.23399043582319,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-87.71456015459849,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,17,4.1746263176653295,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,13,-28.20821927394444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-96.58065089599756,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-119.39186796831449,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-71.51502339962761,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-38.35753390814973,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,18,-6.204539354799883,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-38.145624010307266,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-152.48853549753585,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,12,-26.80383685967487,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,10,-38.46459795884888,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-63.86526353281996,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-45.4397569249398,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-52.15945678552026,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-107.4675319787365,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",35,8,-33.737720624768755,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-53.0164977442814,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,11,-6.948051621533062,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-76.31811436098377,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-64.12316770773099,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,14,-38.344216017044836,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-79.24146247283586,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-26.154704211900622,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,1,-82.17360513220571,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,10,-69.11498170643121,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-103.88197033651886,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-58.50922477444858,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,18,13.445402772415932,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-117.19244865178382,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,12,2.762472888971449,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,16,6.417113002718155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,17,15.158268882089304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,14,13.792805104644742,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-22.612368778598633,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,15,-4.276791658271924,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,4,24.79072779219513,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,0,-35.140059308517394,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-38.38578186028466,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,15,-35.82094943306815,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,3,3.101899512709481,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",1
