trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.2596698690594,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.995}",20,0,-95.81352056918831,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.990025}",20,0,-134.48056940378723,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.985074875}",30,0,-152.3678878120761,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.980149500625}",25,0,-85.69568069376717,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.975248753121875}",25,0,-41.78705491738711,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,17,-36.23486359364488,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9655206468094842}",30,0,-184.83056322158464,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9606930435754368}",30,0,-144.89592122575766,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9558895783575596}",25,13,-68.46190780659218,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-148.6051738654257,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-129.11469430823436,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-132.49384512362508,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9369146928798039}",25,0,-53.35291667762603,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-41.90194277973264,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9275689688183278}",35,0,-194.31649743291442,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-275.99918524488606,"{0: 13, 1: 1, 2: 11, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.918316468354365}",30,6,-186.84797938008734,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,0,-219.22721326264522,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-200.14122657820533,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9046104802746175}",35,16,-10.448912856758497,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9000874278732445}",30,0,-177.71342654869483,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8955869907338783}",25,0,-105.330517698991,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8911090557802088}",30,0,-117.7578080151037,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8866535105013078}",25,0,-136.937494266385,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.8822202429488012}",20,0,-21.852222199003645,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8778091417340572}",20,6,-14.701792910419847,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.873420096025387}",20,0,-117.38006038640863,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.86905299554526}",25,0,-145.1802602595778,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8647077305675337}",25,3,-94.8295692678393,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.8603841919146961}",25,17,-35.21372347218977,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.8560822709551226}",20,0,-124.77291564141684,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8518018596003469}",30,18,-105.64830220712355,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.8475428503023452}",20,0,4.920638693067091,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8433051360508335}",20,0,-193.47627730506608,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8390886103705792}",20,0,-40.41267655395314,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8348931673187264}",30,0,-236.16440946625437,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 5}",0
38,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,0,-65.22924043595667,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.826565107974722}",20,0,-93.82710154300797,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8224322824348484}",30,0,-108.39449651966112,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.8183201210226743}",25,0,-129.6523412083976,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8142285204175609}",25,2,-135.33329632037635,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.810157377815473}",30,0,-204.34210971898798,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,0,-98.08207214412988,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.8020760579717637}",35,5,-107.042036427793,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7980656776819048}",25,5,-68.62148243052772,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7940753492934953}",20,0,-113.55651990013182,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7901049725470278}",25,0,-74.5894245541347,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7861544476842928}",35,0,-174.20074198042207,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7822236754458712}",20,0,-16.477768089953916,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7783125570686419}",20,0,-48.64214044969172,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7744209942832987}",20,3,-139.38357119866774,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.7705488893118821}",20,0,-80.09138012637966,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.7666961448653228}",30,0,-103.34838660747269,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7628626641409961}",25,10,-30.495195989217795,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7590483508202912}",25,0,-199.67107654253346,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.7552531090661897}",25,0,-70.08757451352737,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7514768435208588}",25,0,-105.23061445760219,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,7,-99.59533750050467,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,2,-3.5055137057666723,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.7402609576967045}",30,0,-131.34232110726703,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.736559652908221}",30,0,-84.8715847029125,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7328768546436798}",20,0,0.8423623288277803,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.7292124703704614}",20,14,-1.997666420093278,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.7255664080186092}",25,0,-59.62205297314429,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.7219385759785161}",25,0,-145.57556934006163,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7183288830986235}",20,13,11.47180631416067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7147372386831303}",20,7,-14.30612290029663,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.7111635524897147}",25,10,-48.33283333609526,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.7076077347272661}",25,4,-31.67764334391347,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7040696960536298}",20,0,-93.63254080498601,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.7005493475733616}",25,0,-34.12103654887834,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6970466008354949}",20,0,-25.570541465622618,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6935613678313174}",30,0,-44.864784185937985,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6900935609921608}",20,10,-30.42488427054267,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6866430931872}",30,10,-57.57472778345131,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.683209877721264}",20,0,-42.38067755121044,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6797938283326577}",20,0,-44.67203486947514,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
