trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.21872120520808,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.43845920048085,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.10332008849744,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.4605513671873,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.5021306379351,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.7734987050259,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.80075028892723,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.33733094762036,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.78466660355532,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.52145424135796,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.91424197495522,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.884615604605,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.341807834650545,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.0740671717917,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.75966071882357,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.65387470180747,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.41374244744344,"{0: 10, 1: 5, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.18022044276418,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.87642629642434,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,6,-61.821666348367536,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.1915601625146,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.76005204575233,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.8126176912004,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.22454897091686,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.55852862305247,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,12,-37.73045151083148,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.02856991384454,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.50651270843073,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.979602032914805,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.04761904261014,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
